所在地,緯度,経度
神奈川県横浜市青葉区奈良町1566-505,35.563664,139.4806428
神奈川県横浜市緑区上山2-43,35.5043832,139.5482875
神奈川県横浜市泉区岡津町2798-11,35.4340502,139.5172765
神奈川県横浜市金沢区六浦南2-2,35.3217001,139.6102289
神奈川県横浜市青葉区すすき野1-5-57,35.5756935,139.5324365
神奈川県横浜市緑区いぶき野1-35,35.5298526,139.5063669
神奈川県横浜市神奈川区西大口130-49,35.492409,139.6394602
神奈川県横浜市戸塚区平戸町829-4,35.4225817,139.5649208
神奈川県横浜市神奈川区斎藤分町21,35.4841468,139.6256846
神奈川県横浜市瀬谷区阿久和西1-22-2,35.4552197,139.4979013
神奈川県横浜市都筑区すみれが丘12-18,35.5665215,139.5802054
神奈川県横浜市都筑区川和町1711-4,35.5289578,139.5496403
神奈川県横浜市中区山手町166-4,35.4326322,139.6603676
神奈川県横浜市青葉区市ケ尾町1170-17,35.5537621,139.539714
神奈川県横浜市青葉区美しが丘3-63-19,35.5898997,139.5454597
神奈川県横浜市旭区金が谷2-19,35.4770465,139.5144782
神奈川県横浜市旭区さちが丘190-13,35.4548722,139.5232629
神奈川県横浜市港北区高田東2-16,35.5500995,139.6229756
神奈川県横浜市南区六ツ川2-10-27,35.4224943,139.5848672
神奈川県横浜市磯子区田中2-9,35.3826357,139.60083
神奈川県横浜市青葉区たちばな台2-15-30,35.5563091,139.51082
神奈川県横浜市旭区中希望が丘155-15,35.4575955,139.5105967
神奈川県横浜市港北区新吉田東6-5,35.5364412,139.6227365
神奈川県横浜市磯子区岡村7-6,35.4133056,139.6113441
神奈川県横浜市金沢区六浦南3-11,35.3170007,139.6121407
神奈川県横浜市港南区東永谷2-13,35.4072592,139.57718
神奈川県横浜市旭区金が谷2-19,35.4770465,139.5144782
神奈川県横浜市港北区新吉田東4-8,35.5416851,139.6173986
神奈川県横浜市旭区白根5-56,35.4850561,139.5398532
神奈川県横浜市港北区新吉田東6-13,35.5381973,139.6216609
神奈川県横浜市金沢区六浦町697-78,35.3270467,139.6133356
神奈川県横浜市磯子区洋光台6-16,35.3690171,139.5978832
神奈川県横浜市港北区下田町5-30,35.5576008,139.6266408
神奈川県横浜市泉区領家3-13,35.4197648,139.5222725
神奈川県横浜市旭区白根4-30,35.4833628,139.5445907
神奈川県横浜市瀬谷区阿久和東3-8-7,35.4496355,139.5053218
神奈川県横浜市南区六ツ川2-49-59,35.4186653,139.5834259
神奈川県横浜市戸塚区東俣野町1662-9,35.3719031,139.4958405
神奈川県横浜市都筑区すみれが丘15-46,35.5662157,139.5780068
神奈川県横浜市青葉区大場町155-18,35.5599816,139.5327737
神奈川県横浜市緑区鴨居町840-2,35.5029164,139.5702215
神奈川県横浜市戸塚区前田町424-14,35.4241276,139.5506087
神奈川県横浜市保土ケ谷区新井町587-3,35.4897296,139.5541536
神奈川県横浜市港南区大久保3-36,35.4112265,139.5841864
神奈川県横浜市港北区錦が丘24,35.5061568,139.6307843
神奈川県横浜市磯子区磯子7-12,35.4118008,139.6163629
神奈川県横浜市鶴見区東寺尾1-5,35.5043543,139.6479193
神奈川県横浜市青葉区榎が丘31-8,35.5402625,139.5083254
神奈川県横浜市港北区菊名6-27,35.5165872,139.6314616
神奈川県横浜市神奈川区片倉5-29,35.4918798,139.6113441
神奈川県横浜市港北区樽町3-12,35.5319272,139.6404271
神奈川県横浜市金沢区長浜1-7,35.3570144,139.6310233
神奈川県横浜市都筑区川和町2589-7,35.5364391,139.5467774
神奈川県横浜市神奈川区西大口130-52,35.4916156,139.6394932
神奈川県横浜市戸塚区深谷町1200-8,35.3861267,139.4994194
神奈川県横浜市緑区鴨居7-15,35.501149,139.5559271
神奈川県横浜市旭区白根6-19,35.4839245,139.5470143
神奈川県横浜市港南区上永谷1-35,35.4049916,139.5765431
神奈川県横浜市港南区日野南4-11,35.3812522,139.5705725
神奈川県横浜市旭区東希望が丘204-26,35.4676307,139.5097663
神奈川県横浜市港北区下田町3-2,35.560027,139.6358844
神奈川県横浜市泉区和泉中央北3-14,35.4183431,139.494361
神奈川県横浜市瀬谷区宮沢2-71-1,35.4596572,139.4951027
神奈川県横浜市港南区芹が谷4-30,35.4117922,139.5704133
神奈川県横浜市旭区上白根3-27,35.4971242,139.539535
神奈川県横浜市瀬谷区北新16-2,35.458358,139.4742706
神奈川県横浜市戸塚区上矢部町1542-3,35.404788,139.5253449
神奈川県横浜市旭区東希望が丘2-51,35.4613214,139.5210623
神奈川県横浜市金沢区乙舳町21-31,35.3285533,139.6320388
神奈川県横浜市鶴見区獅子ケ谷1-55,35.520039,139.6538977
神奈川県横浜市旭区二俣川1-85-30,35.4661805,139.5256901
神奈川県横浜市保土ケ谷区星川1-17,35.4544557,139.5902381
神奈川県横浜市瀬谷区二ツ橋町140-10,35.4632152,139.4934478
神奈川県横浜市鶴見区北寺尾3-5,35.5183372,139.6578837
神奈川県横浜市都筑区川和町2597-22,35.5367912,139.5458602
神奈川県横浜市緑区十日市場町897-10,35.5248637,139.5215614
神奈川県横浜市港南区日野2-60,35.4000503,139.5835494
神奈川県横浜市港北区日吉本町5-9,35.5512213,139.6339718
神奈川県横浜市港北区新吉田東3-637-2,35.5466528,139.6177969
神奈川県横浜市瀬谷区三ツ境165-8,35.4588059,139.500034
神奈川県横浜市港北区篠原東3-14,35.5007514,139.6275172
神奈川県横浜市青葉区藤が丘1-4-36,35.5494845,139.5325765
神奈川県横浜市中区山手町126-7,35.4353849,139.6555519
神奈川県横浜市旭区白根7-4,35.4830333,139.551391
神奈川県横浜市港北区篠原東1-5,35.4983435,139.6283141
神奈川県横浜市神奈川区菅田町236-3,35.5022727,139.5735423
神奈川県横浜市西区浅間台127-5,35.4633803,139.6056644
神奈川県横浜市港北区下田町3-4,35.5604087,139.6354062
神奈川県横浜市港南区下永谷2-33,35.4114918,139.5636871
神奈川県横浜市旭区金が谷1-3,35.4738366,139.5107007
神奈川県横浜市南区永田東1-23,35.4336831,139.5950161
神奈川県横浜市戸塚区東俣野町179-6,35.3623033,139.4900098
神奈川県横浜市都筑区川和町2581-17,35.5361384,139.5455878
神奈川県横浜市保土ケ谷区上星川3-12-24,35.4675221,139.5793433
神奈川県横浜市旭区本宿町55-9,35.4624178,139.5443495
神奈川県横浜市南区別所中里台43,35.4177488,139.5852215
神奈川県横浜市金沢区富岡西1-53,35.3702626,139.6216609
神奈川県横浜市都筑区佐江戸町379-2,35.5155534,139.559387
神奈川県横浜市南区中里2-12,35.4185896,139.5944587
神奈川県横浜市金沢区富岡東3-5,35.3750299,139.628075
神奈川県横浜市港南区丸山台4-5,35.3937088,139.5663536
神奈川県横浜市金沢区柴町347-7,35.3453563,139.6383633
神奈川県横浜市港南区笹下3-34,35.3863917,139.6048124
神奈川県横浜市中区本牧三之谷18-1,35.4209418,139.6634447
神奈川県横浜市港北区富士塚1-25,35.5042107,139.6257643
神奈川県横浜市鶴見区東寺尾5-2,35.501084,139.6619497
神奈川県横浜市港南区下永谷6-11,35.4146403,139.5583943
神奈川県横浜市泉区上飯田町2057-3,35.4214152,139.4837468
神奈川県横浜市旭区白根5-68,35.486045,139.5383018
神奈川県横浜市戸塚区上柏尾町403-6,35.4169537,139.5572502
神奈川県横浜市瀬谷区二ツ橋町4759-4,35.4675932,139.4961211
神奈川県横浜市旭区笹野台4-35,35.4701883,139.5101043
神奈川県横浜市鶴見区馬場3-27,35.5081061,139.6556515
神奈川県横浜市鶴見区馬場4-21,35.5098227,139.6565285
神奈川県横浜市中区本牧元町8,35.4198093,139.6664519
神奈川県横浜市中区豆口台155-19,35.4229504,139.6436191
神奈川県横浜市神奈川区神大寺1-26,35.4842275,139.6151679
神奈川県横浜市保土ケ谷区霞台2-7,35.4465592,139.5949763
神奈川県横浜市神奈川区菅田町2659-8,35.4977605,139.5985743
神奈川県横浜市金沢区大道1-26,35.329931,139.606724
神奈川県横浜市神奈川区羽沢町984-9,35.4902073,139.5909802
神奈川県横浜市磯子区杉田6-24,35.3745636,139.6201073
神奈川県横浜市戸塚区上矢部町2822-5,35.4131528,139.5367053
神奈川県横浜市戸塚区戸塚町1978-4,35.3843901,139.5161067
神奈川県横浜市神奈川区神之木台39,35.4936622,139.654376
神奈川県横浜市瀬谷区橋戸3-46-21,35.4624909,139.4749979
神奈川県横浜市港南区上永谷5-22,35.400349,139.5657168
神奈川県横浜市旭区二俣川1-8-11,35.4626466,139.5292524
神奈川県横浜市戸塚区原宿3-367-316,35.3806129,139.5063669
神奈川県横浜市港北区日吉5-1717-11,35.5480596,139.6541369
神奈川県横浜市保土ケ谷区仏向町1685-2,35.4595291,139.5711645
神奈川県横浜市神奈川区西大口454-3,35.4939831,139.6366727
神奈川県横浜市緑区上山2-38,35.5059159,139.5492424
神奈川県横浜市中区矢口台91-5,35.4248408,139.6485452
神奈川県横浜市港南区日野2-16,35.3990834,139.5874212
神奈川県横浜市南区八幡町72-17,35.4308958,139.6288028
神奈川県横浜市港北区師岡町1160-45,35.5237888,139.6340735
神奈川県横浜市南区庚台49-9,35.439973,139.613249
神奈川県横浜市旭区西川島町60-18,35.4727426,139.5539053
神奈川県横浜市瀬谷区阿久和南2-5-11,35.4462164,139.5010593
神奈川県横浜市南区榎町2-75-2,35.429222,139.6148728
神奈川県横浜市泉区和泉中央南4-5,35.4163391,139.4897501
神奈川県横浜市港北区新吉田東1-53,35.5443535,139.6201073
神奈川県横浜市金沢区六浦5-1667-6,35.323722,139.6107865
神奈川県横浜市金沢区西柴2-6,35.3516446,139.6291109
神奈川県横浜市港北区篠原北1-3,35.5089965,139.6305101
神奈川県横浜市鶴見区北寺尾7-2,35.5114644,139.6434557
神奈川県横浜市緑区西八朔町75-6,35.5288429,139.5303792
神奈川県横浜市金沢区瀬戸10,35.329386,139.621179
神奈川県横浜市南区別所7-10,35.4199364,139.5794092
神奈川県横浜市神奈川区菅田町407-12,35.5026038,139.5777211
神奈川県横浜市戸塚区戸塚町719-20,35.3859532,139.5292936
神奈川県横浜市港南区笹下3-38,35.3872689,139.6030601
神奈川県横浜市港北区箕輪町1-33-5,35.5464778,139.6465841
神奈川県横浜市鶴見区北寺尾3-5,35.5183372,139.6578837
神奈川県横浜市戸塚区下倉田町1037-4,35.3837572,139.5416858
神奈川県横浜市瀬谷区橋戸2-36-15,35.4602677,139.4797223
神奈川県横浜市緑区いぶき野39-14,35.529084,139.5043262
神奈川県横浜市青葉区すみよし台36-4,35.5572757,139.4943212
神奈川県横浜市保土ケ谷区瀬戸ケ谷町113-1,35.4417981,139.5917876
神奈川県横浜市港北区日吉本町2-64,35.5552487,139.6345296
神奈川県横浜市磯子区杉田8-51,35.3715753,139.6180359
神奈川県横浜市保土ケ谷区東川島町70-11,35.4775441,139.5762877
神奈川県横浜市戸塚区矢部町1544-38,35.4030246,139.5252027
神奈川県横浜市旭区中尾2-58-12,35.4701233,139.5208806
神奈川県横浜市磯子区磯子4-13,35.4049671,139.6179562
神奈川県横浜市緑区鴨居1-6,35.5107528,139.5689008
神奈川県横浜市南区睦町2-199-14,35.4283626,139.6214078
神奈川県横浜市神奈川区三ツ沢上町15,35.4793365,139.6042548
神奈川県横浜市鶴見区駒岡5-6,35.531474,139.6479068
神奈川県横浜市港南区下永谷1-31,35.4150289,139.5622146
神奈川県横浜市緑区西八朔町1198-15,35.5299215,139.5292723
神奈川県横浜市旭区上白根1-6,35.489382,139.5386598
神奈川県横浜市保土ケ谷区新井町381-15,35.493373,139.5520748
神奈川県横浜市青葉区荏田西2-3-3,35.5572566,139.5531279
神奈川県横浜市港南区日野1-2,35.3992443,139.5887533
神奈川県横浜市戸塚区吉田町104-3,35.400129,139.5375649
神奈川県横浜市鶴見区梶山1-28,35.5250164,139.6652187
神奈川県横浜市港南区港南1-1171-10,35.4055651,139.5897603
神奈川県横浜市港南区大久保3-38,35.4114481,139.582594
神奈川県横浜市戸塚区柏尾町1224-2,35.4154049,139.5470939
神奈川県横浜市金沢区釜利谷南2-13,35.3368511,139.6078392
神奈川県横浜市瀬谷区阿久和西1-25-6,35.4575948,139.497057
神奈川県横浜市神奈川区三枚町133-10,35.4981178,139.6070059
神奈川県横浜市戸塚区柏尾町1118-8,35.4133389,139.5449057
神奈川県横浜市戸塚区平戸4-2,35.4308368,139.5679456
神奈川県横浜市戸塚区深谷町1041-3,35.3883882,139.5000058
神奈川県横浜市青葉区奈良町751-3,35.5583278,139.4908078
神奈川県横浜市戸塚区矢部町1520-3,35.4039616,139.5269166
神奈川県横浜市瀬谷区阿久和南4-3,35.4418517,139.4987337
神奈川県横浜市戸塚区平戸町1117-5,35.4204072,139.5659801
神奈川県横浜市金沢区富岡西7-38,35.3650677,139.6281547
神奈川県横浜市旭区金が谷2-25,35.4778395,139.5128876
神奈川県横浜市都筑区川和町654-2,35.5220916,139.550914
神奈川県横浜市旭区今宿町2659-37,35.4695138,139.5163961
神奈川県横浜市鶴見区鶴見中央2-4,35.5101966,139.6800907
神奈川県横浜市西区宮ケ谷54-32,35.4682442,139.6071962
神奈川県横浜市都筑区折本町187-3,35.5218891,139.5893821
神奈川県横浜市鶴見区梶山2-14,35.5268025,139.6587607
神奈川県横浜市港北区日吉本町3-1,35.5514487,139.6404271
神奈川県横浜市旭区白根4-425-8,35.4811886,139.5464573
神奈川県横浜市南区大岡5-40,35.4137203,139.602184
神奈川県横浜市港北区篠原町1089-2,35.4979854,139.6188074
神奈川県横浜市神奈川区片倉2-6,35.488294,139.6038566
神奈川県横浜市港南区上永谷5-23,35.400446,139.566672
神奈川県横浜市保土ケ谷区東川島町25-11,35.4744572,139.5741269
神奈川県横浜市青葉区新石川1-22-57,35.5687067,139.5581009
神奈川県横浜市青葉区藤が丘2-1-18,35.5441756,139.5247056
神奈川県横浜市中区日ﾉ出町2-132-2,35.4433266,139.6255401
神奈川県横浜市栄区小菅ケ谷3-53,35.3728693,139.5554496
神奈川県横浜市戸塚区前田町502-45,35.4266328,139.5537972
神奈川県横浜市神奈川区片倉1-540-4,35.4864055,139.6050513
神奈川県横浜市鶴見区矢向6-18,35.5392408,139.6775785
神奈川県横浜市南区六ツ川1-106-2,35.4265282,139.595219
神奈川県横浜市南区永田東1-15,35.4347736,139.5991574
神奈川県横浜市中区本牧間門238-13,35.4195392,139.6560501
神奈川県横浜市港南区笹下5-4,35.3931973,139.597246
神奈川県横浜市青葉区市ケ尾町1157-14,35.5524347,139.5419535
神奈川県横浜市港北区菊名7-4,35.5163022,139.6303062
神奈川県横浜市瀬谷区橋戸1-27-10,35.4626465,139.482883
神奈川県横浜市南区中里3-317-3,35.4220448,139.5935827
神奈川県横浜市青葉区しらとり台11-32,35.5379541,139.5121733
神奈川県横浜市磯子区岡村4-29,35.4178388,139.6097509
神奈川県横浜市旭区白根8-33,35.4915487,139.5481283
神奈川県横浜市保土ケ谷区今井町531-11,35.4534553,139.5551713
神奈川県横浜市戸塚区深谷町115-6,35.3813632,139.4996282
神奈川県横浜市戸塚区平戸1-12,35.4265141,139.5748713
神奈川県横浜市栄区本郷台2-33,35.3725685,139.5439906
神奈川県横浜市保土ケ谷区法泉3-211-318,35.4451184,139.5681048
神奈川県横浜市栄区小菅ケ谷4-26,35.3776962,139.5529825
神奈川県横浜市磯子区磯子6-16,35.4092997,139.6138933
神奈川県横浜市旭区善部町26-4,35.4508202,139.5134394
神奈川県横浜市港北区日吉本町6-31,35.5544433,139.6303858
神奈川県横浜市南区中里4-28,35.4199504,139.5908751
神奈川県横浜市保土ケ谷区川島町1505-13,35.468409,139.5612476
神奈川県横浜市青葉区桜台43-18,35.5502587,139.5114562
神奈川県横浜市戸塚区上矢部町1921-20,35.4204381,139.5344581
神奈川県横浜市戸塚区平戸町774-4,35.428148,139.5639806
神奈川県横浜市泉区和泉中央南2-9,35.4123019,139.49611
神奈川県横浜市鶴見区尻手3-5,35.5286833,139.6820446
神奈川県横浜市保土ケ谷区狩場町334-45,35.4379809,139.5827533
神奈川県横浜市戸塚区平戸2-34,35.4318177,139.5728811
神奈川県横浜市旭区今宿2-10,35.475885,139.5185343
神奈川県横浜市港南区日野南3-11,35.3767829,139.5723238
神奈川県横浜市磯子区森2-23,35.3974553,139.6099899
神奈川県横浜市保土ケ谷区新井町626-2,35.4871884,139.5573447
神奈川県横浜市旭区中白根4-786-7,35.49433,139.5477305
神奈川県横浜市港北区師岡町493-10,35.5228486,139.6405471
神奈川県横浜市戸塚区影取町69-26,35.3613922,139.4974217
神奈川県横浜市港北区高田東4-7,35.5465606,139.6234536
神奈川県横浜市港南区上永谷1-5301-168,35.4032536,139.5782946
神奈川県横浜市磯子区中浜町11,35.41552,139.6247285
神奈川県横浜市青葉区あざみ野1-9-27,35.5714077,139.5520594
神奈川県横浜市保土ケ谷区瀬戸ケ谷町138-59,35.4429049,139.5909349
神奈川県横浜市南区別所4-8,35.4124071,139.5835494
神奈川県横浜市戸塚区下倉田町字南谷772-39,35.3840963,139.536265
神奈川県横浜市青葉区千草台47-39,35.5387156,139.5374806
神奈川県横浜市泉区上飯田町1231-2,35.4197899,139.4805851
神奈川県横浜市戸塚区柏尾町1081,35.4154049,139.5470939
神奈川県横浜市中区竹之丸31-9,35.4293583,139.6459066
神奈川県横浜市南区南太田2-18,35.4357946,139.6054496
神奈川県横浜市保土ケ谷区仏向町1515-23,35.4533833,139.5695602
神奈川県横浜市港北区富士塚1-22,35.5041666,139.6281547
神奈川県横浜市都筑区川向町957-8,35.5176689,139.5905068
神奈川県横浜市神奈川区栗田谷71-3,35.4787699,139.6203463
神奈川県横浜市神奈川区菅田町2851-11,35.4950041,139.6011152
神奈川県横浜市中区鷺山88-8,35.4313356,139.6454792
神奈川県横浜市泉区岡津町1387-17,35.4235092,139.5220929
神奈川県横浜市泉区弥生台45,35.4265594,139.5063669
神奈川県横浜市西区境之谷3-5,35.4470459,139.6141191
神奈川県横浜市南区別所3-435-16,35.4327206,139.6044141
神奈川県横浜市磯子区森4-11,35.3952814,139.6074409
神奈川県横浜市旭区東希望が丘162-20,35.4647368,139.5112763
神奈川県横浜市都筑区川和町1443-15,35.5288625,139.5461598
神奈川県横浜市戸塚区名瀬町438-55,35.4258852,139.5435739
神奈川県横浜市港南区上永谷6-3173-3,35.4033641,139.5642841
神奈川県横浜市旭区今宿2-1,35.4754675,139.5205227
神奈川県横浜市港北区高田西3-286-18,35.5540535,139.6190716
神奈川県横浜市栄区小菅ケ谷3-64,35.373929,139.5536192
神奈川県横浜市港北区大豆戸町17-12,35.5203698,139.6337566
神奈川県横浜市中区豆口台158-5,35.422989,139.6438686
神奈川県横浜市港南区丸山台4-8,35.3962604,139.5641249
神奈川県横浜市青葉区しらとり台20-30,35.536456,139.5122222
神奈川県横浜市栄区中野町53-6,35.3650721,139.5601674
神奈川県横浜市青葉区美しが丘2-3-51,35.5779733,139.5616851
神奈川県横浜市南区永田台7,35.4359771,139.58554
神奈川県横浜市金沢区柴町37-6,35.3433546,139.6348895
神奈川県横浜市港北区仲手原1-18,35.4958154,139.6345296
神奈川県横浜市神奈川区二ツ谷町2-2,35.4771075,139.6314279
神奈川県横浜市旭区さちが丘80-42,35.4583468,139.5250304
神奈川県横浜市保土ケ谷区今井町488-2,35.4524142,139.5583658
神奈川県横浜市港南区下永谷5-38,35.4087248,139.556723
神奈川県横浜市緑区鴨居2-27,35.5071625,139.5712093
神奈川県横浜市緑区三保町1911-18,35.517874,139.5292949
神奈川県横浜市鶴見区市場西中町1458-2,35.517435,139.6844373
神奈川県横浜市緑区長津田みなみ台7-32-11,35.5255338,139.5074359
神奈川県横浜市磯子区栗木1-12,35.3827285,139.6083968
神奈川県横浜市磯子区岡村7-8,35.4126027,139.6110255
神奈川県横浜市港南区芹が谷5-41,35.4167567,139.56508
神奈川県横浜市戸塚区汲沢2-23,35.4014106,139.5187729
神奈川県横浜市港北区日吉本町5-144-4,35.550315,139.6311827
神奈川県横浜市旭区東希望が丘98-50,35.4602798,139.516647
神奈川県横浜市泉区新橋町2110-6,35.4371219,139.5080889
神奈川県横浜市鶴見区鶴見中央3-18,35.5087366,139.6845969
神奈川県横浜市栄区長尾台町58-4,35.3588801,139.52786
神奈川県横浜市中区羽衣町3-64,35.4431034,139.6328263
神奈川県横浜市西区北幸1-11-36,35.467958,139.617533
神奈川県横浜市旭区市沢町918-10,35.4552009,139.5591442
神奈川県横浜市旭区白根5-9,35.4861833,139.5429165
神奈川県横浜市港南区上永谷5-22,35.400349,139.5657168
神奈川県横浜市港南区笹下3-5,35.3914687,139.6024229
神奈川県横浜市保土ケ谷区仏向町1276-27,35.4548757,139.5770942
神奈川県横浜市戸塚区汲沢2-1684-103,35.3821203,139.5130744
神奈川県横浜市神奈川区入江1-24-11,35.4877034,139.6492137
神奈川県横浜市中区滝之上6-7,35.4209807,139.6416609
神奈川県横浜市緑区東本郷5-27,35.5064205,139.5821959
神奈川県横浜市青葉区青葉台1-11-5,35.5441724,139.5204127
神奈川県横浜市緑区長津田みなみ台5-1-8,35.5272732,139.4979815
神奈川県横浜市青葉区新石川1-4-11,35.5675324,139.5552231
神奈川県横浜市青葉区あざみ野南2-11-28,35.5646701,139.5520188
神奈川県横浜市神奈川区三ツ沢中町21,35.478678,139.6119017
神奈川県横浜市港北区新吉田東5-6,35.5402333,139.6252065
神奈川県横浜市栄区本郷台3-37,35.3770555,139.5447863
神奈川県横浜市神奈川区西寺尾2-37,35.5002086,139.65047
神奈川県横浜市神奈川区三枚町542-19,35.4899478,139.5936224
神奈川県横浜市旭区市沢町337-70,35.4614924,139.5683087
神奈川県横浜市中区池袋13-8,35.4220047,139.649117
神奈川県横浜市緑区竹山1-2-7,35.4994613,139.5604636
神奈川県横浜市港北区日吉本町5-16,35.550788,139.6325374
神奈川県横浜市戸塚区吉田町1371-14,35.4071356,139.5433441
神奈川県横浜市港北区仲手原1-10,35.4946355,139.6351672
神奈川県横浜市港南区日野8-3,35.3854838,139.5787723
神奈川県横浜市栄区小菅ケ谷3-64,35.373929,139.5536192
神奈川県横浜市保土ケ谷区宮田町3-303-2,35.461247,139.6026636
神奈川県横浜市青葉区柿の木台28-1,35.5516596,139.5289789
神奈川県横浜市中区野毛町3-160-5,35.4481814,139.6284207
神奈川県横浜市磯子区岡村3-17,35.4192641,139.6143713
神奈川県横浜市港南区野庭町676-6,35.3895104,139.5650856
神奈川県横浜市鶴見区矢向6-5,35.5392445,139.6804495
神奈川県横浜市金沢区能見台通47,35.3632141,139.627836
神奈川県横浜市戸塚区平戸町1154-11,35.421941,139.5681062
神奈川県横浜市神奈川区松見町2-371-17,35.4966788,139.6372591
神奈川県横浜市栄区小菅ケ谷3-683-2,35.3716783,139.5540967
神奈川県横浜市旭区二俣川2-31-10,35.4599053,139.5354027
神奈川県横浜市港北区大豆戸町200-7,35.5106784,139.6305045
神奈川県横浜市金沢区釜利谷西1-14,35.3430428,139.6055292
神奈川県横浜市港北区大豆戸町170-8,35.5156909,139.6351878
神奈川県横浜市旭区今宿町2540-14,35.4762718,139.5153569
神奈川県横浜市港北区大豆戸町105-3,35.5176837,139.6329982
神奈川県横浜市南区弘明寺町105-7,35.4266483,139.5981677
神奈川県横浜市港南区大久保3-526-41,35.4099006,139.5833902
神奈川県横浜市港北区新羽町2360-3,35.5314052,139.6090141
神奈川県横浜市青葉区荏田町353-6,35.5618612,139.5605982
